crawl,charset,pages,urls,%pages/crawl
CC-MAIN-2013-20,<unknown>,1796098643,1796098643,100.0000
CC-MAIN-2013-48,<unknown>,2245773667,2245773667,100.0000
CC-MAIN-2014-10,<unknown>,2301223474,2301223474,100.0000
CC-MAIN-2014-15,<unknown>,2641371316,2641371316,100.0000
CC-MAIN-2014-23,<unknown>,3608720876,3608720876,100.0000
CC-MAIN-2014-35,<unknown>,2870692423,2870692423,100.0000
CC-MAIN-2014-41,<unknown>,2979743543,2979743543,100.0000
CC-MAIN-2014-42,<unknown>,3722131678,3722131678,100.0000
CC-MAIN-2014-49,<unknown>,1948510433,1948510433,100.0000
CC-MAIN-2014-52,<unknown>,2085977207,2085977207,100.0000
CC-MAIN-2015-06,<unknown>,1826024103,1826024103,100.0000
CC-MAIN-2015-11,<unknown>,1837196089,1837196089,100.0000
CC-MAIN-2015-14,<unknown>,1646697534,1646697534,100.0000
CC-MAIN-2015-18,<unknown>,2115818059,2115818059,100.0000
CC-MAIN-2015-22,<unknown>,2015461448,2015461448,100.0000
CC-MAIN-2015-27,<unknown>,1675619098,1675619098,100.0000
CC-MAIN-2015-32,<unknown>,1815492409,1815492409,100.0000
CC-MAIN-2015-35,<unknown>,1848022475,1848022475,100.0000
CC-MAIN-2015-40,<unknown>,1321987379,1321987379,100.0000
CC-MAIN-2015-48,<unknown>,1824170527,1824170527,100.0000
CC-MAIN-2016-07,<unknown>,1733285122,1733285122,100.0000
CC-MAIN-2016-18,<unknown>,1335046923,1335046923,100.0000
CC-MAIN-2016-22,<unknown>,1466220798,1466220798,100.0000
CC-MAIN-2016-26,<unknown>,1236815660,1236815660,100.0000
CC-MAIN-2016-30,<unknown>,1737322304,1737322304,100.0000
CC-MAIN-2016-36,<unknown>,1611613090,1611613090,100.0000
CC-MAIN-2016-40,<unknown>,1722656393,1722656393,100.0000
CC-MAIN-2016-44,<unknown>,3254976731,3254976731,100.0000
CC-MAIN-2016-50,<unknown>,2866282390,2866282390,100.0000
CC-MAIN-2017-04,<unknown>,3146498026,3146498026,100.0000
CC-MAIN-2017-09,<unknown>,3084366662,3084366662,100.0000
CC-MAIN-2017-13,<unknown>,3070720576,3070720576,100.0000
CC-MAIN-2017-17,<unknown>,2942930482,2942930482,100.0000
CC-MAIN-2017-22,<unknown>,2967293699,2967293699,100.0000
CC-MAIN-2017-26,<unknown>,3165214086,3165214086,100.0000
CC-MAIN-2017-30,<unknown>,2892213652,2892213652,100.0000
CC-MAIN-2017-34,<unknown>,3280080910,3280080910,100.0000
CC-MAIN-2017-39,<unknown>,3017180563,3017180563,100.0000
CC-MAIN-2017-43,<unknown>,3650430218,3650430218,100.0000
CC-MAIN-2017-47,<unknown>,3204943573,3204943573,100.0000
CC-MAIN-2017-51,<unknown>,2914004423,2914004423,100.0000
CC-MAIN-2018-05,<unknown>,3464537205,3464537205,100.0000
CC-MAIN-2018-09,<unknown>,3488463319,3488463319,100.0000
CC-MAIN-2018-13,<unknown>,3232738018,3232738018,100.0000
CC-MAIN-2018-17,<unknown>,3101353989,3101353989,100.0000
CC-MAIN-2018-22,<unknown>,2788388007,2788388007,100.0000
CC-MAIN-2018-26,<unknown>,3069414247,3069414247,100.0000
CC-MAIN-2018-30,<unknown>,3263958200,3263958200,100.0000
CC-MAIN-2018-34,<other>,1517,1508,0.0001
CC-MAIN-2018-34,<unknown>,126685829,126685829,4.7160
CC-MAIN-2018-34,Big5,2474270,2469758,0.0921
CC-MAIN-2018-34,Big5-HKSCS,6275,6268,0.0002
CC-MAIN-2018-34,EUC-JP,11086532,10975050,0.4127
