,crawl,date,type,size
75,CC-MAIN-2016-26,2016-06-27,unfetched,2959816783
76,CC-MAIN-2016-26,2016-06-27,fetched,1458288238
77,CC-MAIN-2016-26,2016-06-27,gone,1208261302
78,CC-MAIN-2016-26,2016-06-27,redir_temp,341362333
79,CC-MAIN-2016-26,2016-06-27,redir_perm,1212535320
80,CC-MAIN-2016-26,2016-06-27,notmodified,542104
111,CC-MAIN-2016-30,2016-07-25,unfetched,2700852810
112,CC-MAIN-2016-30,2016-07-25,fetched,1511329903
113,CC-MAIN-2016-30,2016-07-25,gone,1301660933
114,CC-MAIN-2016-30,2016-07-25,redir_temp,363167187
115,CC-MAIN-2016-30,2016-07-25,redir_perm,1302685912
116,CC-MAIN-2016-30,2016-07-25,notmodified,821287
147,CC-MAIN-2016-36,2016-09-05,unfetched,2417090235
148,CC-MAIN-2016-36,2016-09-05,fetched,1513758138
149,CC-MAIN-2016-36,2016-09-05,gone,1515748969
150,CC-MAIN-2016-36,2016-09-05,redir_temp,196286452
151,CC-MAIN-2016-36,2016-09-05,redir_perm,946721948
152,CC-MAIN-2016-36,2016-09-05,notmodified,814877
153,CC-MAIN-2016-36,2016-09-05,duplicate,628425876
177,CC-MAIN-2016-40,2016-10-03,unfetched,2330387939
178,CC-MAIN-2016-40,2016-10-03,fetched,1802786208
179,CC-MAIN-2016-40,2016-10-03,gone,1819563339
180,CC-MAIN-2016-40,2016-10-03,redir_temp,162118346
181,CC-MAIN-2016-40,2016-10-03,redir_perm,633970371
182,CC-MAIN-2016-40,2016-10-03,notmodified,1085872
183,CC-MAIN-2016-40,2016-10-03,duplicate,624090304
214,CC-MAIN-2016-44,2016-10-31,unfetched,3954548384
215,CC-MAIN-2016-44,2016-10-31,fetched,1889568295
216,CC-MAIN-2016-44,2016-10-31,gone,1912674627
217,CC-MAIN-2016-44,2016-10-31,redir_temp,185402241
218,CC-MAIN-2016-44,2016-10-31,redir_perm,723510573
219,CC-MAIN-2016-44,2016-10-31,notmodified,1338332
220,CC-MAIN-2016-44,2016-10-31,duplicate,623058808
251,CC-MAIN-2016-50,2016-12-12,unfetched,2366539642
252,CC-MAIN-2016-50,2016-12-12,fetched,3283113827
253,CC-MAIN-2016-50,2016-12-12,gone,2080657701
254,CC-MAIN-2016-50,2016-12-12,redir_temp,154942192
255,CC-MAIN-2016-50,2016-12-12,redir_perm,677746136
256,CC-MAIN-2016-50,2016-12-12,notmodified,1623027
257,CC-MAIN-2016-50,2016-12-12,duplicate,1005647259
288,CC-MAIN-2017-04,2017-01-23,unfetched,2404728243
289,CC-MAIN-2017-04,2017-01-23,fetched,3276551279
290,CC-MAIN-2017-04,2017-01-23,gone,2174897267
291,CC-MAIN-2017-04,2017-01-23,redir_temp,153059872
292,CC-MAIN-2017-04,2017-01-23,redir_perm,670133262
293,CC-MAIN-2017-04,2017-01-23,notmodified,317048153
294,CC-MAIN-2017-04,2017-01-23,duplicate,1061612070
325,CC-MAIN-2017-09,2017-02-27,unfetched,2207201972
326,CC-MAIN-2017-09,2017-02-27,fetched,3397576095
327,CC-MAIN-2017-09,2017-02-27,gone,2297647695
328,CC-MAIN-2017-09,2017-02-27,redir_temp,162830116
329,CC-MAIN-2017-09,2017-02-27,redir_perm,713702943
330,CC-MAIN-2017-09,2017-02-27,notmodified,418214793
331,CC-MAIN-2017-09,2017-02-27,duplicate,1112776528
362,CC-MAIN-2017-13,2017-03-27,unfetched,2637260380
363,CC-MAIN-2017-13,2017-03-27,fetched,3365767571
364,CC-MAIN-2017-13,2017-03-27,gone,2431502897
365,CC-MAIN-2017-13,2017-03-27,redir_temp,172921755
366,CC-MAIN-2017-13,2017-03-27,redir_perm,741292462
367,CC-MAIN-2017-13,2017-03-27,notmodified,642655358
368,CC-MAIN-2017-13,2017-03-27,duplicate,1062672693
399,CC-MAIN-2017-17,2017-04-24,unfetched,2448991569
400,CC-MAIN-2017-17,2017-04-24,fetched,3691674939
401,CC-MAIN-2017-17,2017-04-24,gone,2580641900
402,CC-MAIN-2017-17,2017-04-24,redir_temp,183591714
403,CC-MAIN-2017-17,2017-04-24,redir_perm,760631183
