,crawl,size,percentage,type
4,CC-MAIN-2016-18,1338807996,27.757345493461017,success
5,CC-MAIN-2016-18,327260,0.006785042301308494,notmodified
7,CC-MAIN-2016-18,1428609239,29.61918388637516,redirect
10,CC-MAIN-2016-18,529371016,10.975385738087928,failed
12,CC-MAIN-2016-18,530706159,11.003067097659205,denied
19,CC-MAIN-2016-18,995434921,20.638232742115378,skipped
27,CC-MAIN-2016-22,1468074295,28.083013388033745,success
28,CC-MAIN-2016-22,256139,0.00489972134972745,notmodified
30,CC-MAIN-2016-22,1451697791,27.76974478667785,redirect
33,CC-MAIN-2016-22,636193380,12.16983858975505,failed
35,CC-MAIN-2016-22,680258330,13.012763627682396,denied
42,CC-MAIN-2016-22,991143877,18.95973988650123,skipped
56,CC-MAIN-2016-26,1239037032,34.84725702541512,success
57,CC-MAIN-2016-26,283288,0.007967324214903529,notmodified
59,CC-MAIN-2016-26,1277408944,35.92644662627978,redirect
62,CC-MAIN-2016-26,270351945,7.603504553474792,failed
64,CC-MAIN-2016-26,116872738,3.2869835486482866,denied
71,CC-MAIN-2016-26,651668899,18.32784092196712,skipped
92,CC-MAIN-2016-30,1810244403,43.125395452195164,success
93,CC-MAIN-2016-30,59201,0.0014103435602034595,notmodified
95,CC-MAIN-2016-30,1272039498,30.303756935334558,redirect
98,CC-MAIN-2016-30,444915113,10.599198737466335,failed
100,CC-MAIN-2016-30,142286918,3.3896967703670158,denied
107,CC-MAIN-2016-30,528084556,12.580541761076724,skipped
128,CC-MAIN-2016-36,1669540210,50.59639297434324,success
129,CC-MAIN-2016-36,297150,0.009005304623556263,notmodified
131,CC-MAIN-2016-36,500316535,15.162385347054176,redirect
134,CC-MAIN-2016-36,366753983,11.114694056259717,failed
136,CC-MAIN-2016-36,119391691,3.6182350562897545,denied
143,CC-MAIN-2016-36,643422233,19.49928726142956,skipped
158,CC-MAIN-2016-40,1751866875,64.72741606048884,success
159,CC-MAIN-2016-40,258041,0.00953401620066856,notmodified
161,CC-MAIN-2016-40,278635464,10.294933858792986,redirect
164,CC-MAIN-2016-40,183547188,6.781642700110283,failed
166,CC-MAIN-2016-40,67620778,2.498430842206518,denied
173,CC-MAIN-2016-40,424601563,15.688042522200703,skipped
195,CC-MAIN-2016-44,3269916830,67.75875778369259,success
196,CC-MAIN-2016-44,293668,0.006085347094538008,notmodified
198,CC-MAIN-2016-44,598140788,12.394589490106089,redirect
201,CC-MAIN-2016-44,242862037,5.032553057301212,failed
203,CC-MAIN-2016-44,100629542,2.0852312510535382,denied
210,CC-MAIN-2016-44,613978825,12.72278307075204,skipped
232,CC-MAIN-2016-50,2842785646,72.195830937844,success
233,CC-MAIN-2016-50,304473,0.007732444148248726,notmodified
