crawl,h2,http/1.0,http/1.1
CC-MAIN-2024-30,1238880210,2422087,1743959597
CC-MAIN-2024-33,1921181155,2173712,793558368
CC-MAIN-2024-38,2353288281,2227496,874674956
CC-MAIN-2024-42,2091401806,2173426,810872235
CC-MAIN-2024-46,2255449619,2117045,840076956
CC-MAIN-2024-51,2215167759,2354073,847807974
CC-MAIN-2025-05,2584512235,2204813,913279676
CC-MAIN-2025-08,2284483849,2150723,851715011
CC-MAIN-2025-13,2344284944,2242108,867236843
CC-MAIN-2025-18,2372238433,2188079,851414536
CC-MAIN-2025-21,2159186031,2052780,743137976
CC-MAIN-2025-26,2074737952,1974047,732679102
CC-MAIN-2025-30,2110582070,1937648,722572893
CC-MAIN-2025-33,2134378709,1856421,705002576
CC-MAIN-2025-38,2116410426,1752872,680039425
CC-MAIN-2025-43,2306104165,1755451,715346149
CC-MAIN-2025-47,1974035745,1761279,702283136
CC-MAIN-2025-51,1867445097,1520039,668226056
CC-MAIN-2026-04,2044276714,1489235,666614615
CC-MAIN-2026-08,1914653207,1453599,629671202
CC-MAIN-2026-12,1761227358,1284457,576516670
CC-MAIN-2026-17,1973781341,1395352,613477639
CC-MAIN-2026-21,1961307997,1270292,597489578
CC-MAIN-2026-25,1899994601,1216066,583631815
CC-MAIN-2026-30,1982852302,1450776,575156214
