crawl,fetch denied,fetch failed,fetch list,fetch notmodified,fetch redirect,fetch skipped,fetch success,fetch total,pages released
CC-MAIN-2016-18,530706159,529371016,4884080239,327260,1428609239,995434921,1338807996,4823256591,1335046923
CC-MAIN-2016-22,680258330,636193380,5261630738,256139,1451697791,991143877,1468074295,5227623812,1466220798
CC-MAIN-2016-26,116872738,270351945,3578181474,283288,1277408944,651668899,1239037032,3555622846,1236815660
CC-MAIN-2016-30,142286918,444915113,2973093696,59201,1272039498,528084556,1810244403,4197629689,1737322304
CC-MAIN-2016-36,119391691,366753983,2837438550,297150,500316535,643422233,1669540210,3299721802,1611613090
CC-MAIN-2016-40,67620778,183547188,2438332392,258041,278635464,424601563,1751866875,2706529909,1722656393
CC-MAIN-2016-44,100629542,242862037,4298206731,293668,598140788,613978825,3269916830,4825821690,3254976731
CC-MAIN-2016-50,66545613,152448705,3689984208,304473,347660713,527858461,2842785646,3937603611,2866282390
CC-MAIN-2017-04,68561517,170089567,3877984074,275513,354822802,451124953,3180033761,4224908113,3146498026
CC-MAIN-2017-09,157524153,314554706,4435442265,171060,1317366952,599167892,3332987429,5721772192,3084366662
CC-MAIN-2017-13,123756901,183454750,3953684648,295435,519679909,506790536,3126884662,4460862193,3070720576
CC-MAIN-2017-17,89132197,188659946,3741728936,172749,545836002,457428349,2994688505,4275917748,2942930482
CC-MAIN-2017-22,141247543,290426084,3949651087,257506,870060004,462102701,3033250432,4797344270,2967293699
CC-MAIN-2017-26,93816516,233163840,4019722453,158123,568368089,466643363,3212658689,4574808620,3165214086
CC-MAIN-2017-30,502371672,626424090,4674326265,166146,883329920,542834326,2979385367,5534511521,2892213652
CC-MAIN-2017-34,77558203,322474456,4228576525,6511421,398111932,480138042,3311349890,4596143944,3280080910
CC-MAIN-2017-39,89518551,276440837,3951178480,48612783,653959106,448344789,3070502683,4587378749,3017180563
CC-MAIN-2017-43,92641850,352090300,4775053544,66501392,837200905,530629886,3712542097,5591606430,3650430218
