crawl,http,https
CC-MAIN-2008-2009,1790932667.0,
CC-MAIN-2009-2010,2301135881.0,
CC-MAIN-2012,3597338329.0,
CC-MAIN-2013-20,1666857706.0,
CC-MAIN-2013-48,2085501361.0,
CC-MAIN-2014-10,1944313150.0,87737461.0
CC-MAIN-2014-15,1638013984.0,80632778.0
CC-MAIN-2014-23,2107692678.0,8947575.0
CC-MAIN-2014-35,1877746879.0,
CC-MAIN-2014-41,1980620845.0,
CC-MAIN-2014-42,1602175249.0,
CC-MAIN-2014-49,1321875973.0,
CC-MAIN-2014-52,1905493151.0,
CC-MAIN-2015-06,1679287071.0,
CC-MAIN-2015-11,1569157275.0,116501920.0
CC-MAIN-2015-14,1408516169.0,106353804.0
CC-MAIN-2015-18,1791663278.0,142896069.0
CC-MAIN-2015-22,1695823702.0,140669204.0
CC-MAIN-2015-27,1397586805.0,133456194.0
CC-MAIN-2015-32,1501476858.0,147771968.0
CC-MAIN-2015-35,1518877148.0,154320394.0
CC-MAIN-2015-40,1098752538.0,116360283.0
CC-MAIN-2015-48,1476029627.0,168144111.0
CC-MAIN-2016-07,1380904617.0,179281154.0
CC-MAIN-2016-18,1207674870.0,127372053.0
CC-MAIN-2016-22,1343003811.0,123216987.0
CC-MAIN-2016-26,1194695284.0,42120376.0
CC-MAIN-2016-30,1423899214.0,208557960.0
CC-MAIN-2016-36,1342385024.0,216168031.0
CC-MAIN-2016-40,1447182820.0,243627435.0
CC-MAIN-2016-44,2643698073.0,556956833.0
CC-MAIN-2016-50,2276928983.0,545942145.0
CC-MAIN-2017-04,2492370564.0,623772569.0
CC-MAIN-2017-09,2239221136.0,688748126.0
CC-MAIN-2017-13,2401490239.0,634725938.0
CC-MAIN-2017-17,2268890883.0,638824466.0
CC-MAIN-2017-22,2215600384.0,703333823.0
CC-MAIN-2017-26,2424092671.0,710113553.0
CC-MAIN-2017-30,2117802221.0,727555674.0
CC-MAIN-2017-34,2489368114.0,767452576.0
