crawl,url estim.
CC-MAIN-2008-2009,1799114116
CC-MAIN-2009-2010,2025520640
CC-MAIN-2012,2875802047
CC-MAIN-2013-20,1495317383
CC-MAIN-2013-48,1150709969
CC-MAIN-2014-10,486310808
CC-MAIN-2014-15,117622038
CC-MAIN-2014-23,404294654
CC-MAIN-2014-35,103835189
CC-MAIN-2014-41,137293409
CC-MAIN-2014-42,73111007
CC-MAIN-2014-49,54066084
CC-MAIN-2014-52,92042981
CC-MAIN-2015-06,65152045
CC-MAIN-2015-11,140812486
CC-MAIN-2015-14,66870107
CC-MAIN-2015-18,92082229
CC-MAIN-2015-22,96705276
CC-MAIN-2015-27,61491713
CC-MAIN-2015-32,66990878
CC-MAIN-2015-35,48636643
CC-MAIN-2015-40,43368490
CC-MAIN-2015-48,107994993
CC-MAIN-2016-07,81613309
CC-MAIN-2016-18,21462587
CC-MAIN-2016-22,151361754
CC-MAIN-2016-26,43022887
CC-MAIN-2016-30,172518052
CC-MAIN-2016-36,114400552
CC-MAIN-2016-40,142103417
CC-MAIN-2016-44,1673769696
CC-MAIN-2016-50,485423061
CC-MAIN-2017-04,415730235
CC-MAIN-2017-09,417148061
CC-MAIN-2017-13,690568400
CC-MAIN-2017-17,569645220
CC-MAIN-2017-22,471974452
CC-MAIN-2017-26,769209479
CC-MAIN-2017-30,526102760
CC-MAIN-2017-34,826191097
CC-MAIN-2017-39,838823040
CC-MAIN-2017-43,902230771
CC-MAIN-2017-47,793231698
CC-MAIN-2017-51,637482272
CC-MAIN-2018-05,1161939120
CC-MAIN-2018-09,1071976415
CC-MAIN-2018-13,802838388
CC-MAIN-2018-17,582655807
CC-MAIN-2018-22,536756406
CC-MAIN-2018-26,732166167
CC-MAIN-2018-30,633186440
CC-MAIN-2018-34,633430692
CC-MAIN-2018-39,489585900
CC-MAIN-2018-43,573238044
CC-MAIN-2018-47,636793856
CC-MAIN-2018-51,718392834
CC-MAIN-2019-04,867643934
CC-MAIN-2019-09,743194257
CC-MAIN-2019-13,686752791
CC-MAIN-2019-18,765439142
CC-MAIN-2019-22,790994840
CC-MAIN-2019-26,881298434
CC-MAIN-2019-30,831509631
CC-MAIN-2019-35,1140152979
CC-MAIN-2019-39,992505285
CC-MAIN-2019-43,1153020490
CC-MAIN-2019-47,1134595380
CC-MAIN-2019-51,916018848
CC-MAIN-2020-05,899451468
CC-MAIN-2020-10,1084504183
CC-MAIN-2020-16,980400216
CC-MAIN-2020-24,1251317611
CC-MAIN-2020-29,1113285954
CC-MAIN-2020-34,941472516
CC-MAIN-2020-40,1574558237
CC-MAIN-2020-45,1570432043
CC-MAIN-2020-50,1377757240
CC-MAIN-2021-04,1163314220
CC-MAIN-2021-10,1239929656
CC-MAIN-2021-17,1385878657
CC-MAIN-2021-21,1280308515
CC-MAIN-2021-25,1343821560
CC-MAIN-2021-31,993905051
CC-MAIN-2021-39,1326441386
CC-MAIN-2021-43,1363825891
CC-MAIN-2021-49,1208927869
CC-MAIN-2022-05,1368433857
CC-MAIN-2022-21,1403568348
CC-MAIN-2022-27,1422711399
CC-MAIN-2022-33,1319740149
CC-MAIN-2022-40,1302598516
CC-MAIN-2022-49,1259054456
CC-MAIN-2023-06,1326920593
CC-MAIN-2023-14,1276571074
CC-MAIN-2023-23,1009985051
CC-MAIN-2023-40,1223796606
CC-MAIN-2023-50,1413878967
