domain,pages,urls,hosts,%pages,%urls
blogspot.com,15113600,15065024,282238,0.557723,0.559426
wikipedia.org,5679310,5675975,678,0.209578,0.210772
yahoo.com,2541805,2524684,251,0.093798,0.093752
hatenablog.com,2374961,2374629,20861,0.087641,0.088180
stackexchange.com,2129991,2039341,353,0.078601,0.075729
netlify.app,1904777,1904406,15661,0.070290,0.070718
web.app,1816716,1816678,16030,0.067041,0.067461
pinterest.com,1788036,1777532,45,0.065982,0.066007
fc2.com,1782622,1781222,17133,0.065782,0.066144
europa.eu,1732608,1713203,758,0.063937,0.063618
photoshelter.com,1382825,1382087,2385,0.051029,0.051323
amazonaws.com,1341230,1336800,5004,0.049494,0.049641
wordpress.org,1302863,1301393,217,0.048078,0.048326
altervista.org,1248572,1248282,4544,0.046075,0.046354
wiktionary.org,1227327,1226974,340,0.045291,0.045563
google.com,1174608,1141906,189,0.043345,0.042404
craigslist.org,1171047,1170410,710,0.043214,0.043462
cocolog-nifty.com,1128211,1127842,11437,0.041633,0.041881
pixnet.net,1084766,1066451,10632,0.040030,0.039602
ox.ac.uk,1080204,1077669,1240,0.039862,0.040018
appspot.com,1072498,1069484,1266,0.039577,0.039714
us.com,1025137,1023215,1717,0.037830,0.037996
hh.ru,965699,965580,1213,0.035636,0.035856
medium.com,951318,949707,52587,0.035106,0.035267
nasa.gov,926769,921463,587,0.034200,0.034218
spb.ru,920631,918506,3432,0.033973,0.034108
free.fr,880064,879916,7364,0.032476,0.032675
aif.ru,866290,866211,103,0.031968,0.032166
stanford.edu,824276,822723,1730,0.030417,0.030551
nih.gov,813102,804826,392,0.030005,0.029886
mit.edu,796179,794150,1761,0.029381,0.029490
microsoft.com,777072,756086,249,0.028676,0.028077
googlesource.com,767281,766712,53,0.028314,0.028471
iso.org,748359,747220,31,0.027616,0.027747
libsyn.com,737441,736679,7404,0.027213,0.027356
harvard.edu,726469,724455,1194,0.026808,0.026902
uol.com.br,717827,713515,538,0.026489,0.026496
cloudfront.net,713635,711499,1879,0.026335,0.026421
academic.ru,700144,700015,1033,0.025837,0.025994
mpg.de,698713,693954,567,0.025784,0.025769
umich.edu,691957,688316,1428,0.025535,0.025560
163.com,652094,650900,916,0.024064,0.024171
nsw.gov.au,643702,638886,2991,0.023754,0.023724
berkeley.edu,607953,605918,1452,0.022435,0.022500
myshopify.com,588002,573988,14201,0.021698,0.021315
alibaba.com,585213,584588,6655,0.021596,0.021708
airbnb.com,584293,583933,54,0.021562,0.021684
en-academic.com,577987,576235,560,0.021329,0.021398
lefigaro.fr,576861,569291,68,0.021287,0.021140
noaa.gov,567126,566358,356,0.020928,0.021031
weebly.com,564500,455090,63771,0.020831,0.016899
rutgers.edu,562363,561856,1100,0.020752,0.020864
line.me,559228,557272,89,0.020637,0.020694
typepad.com,552957,552312,15210,0.020405,0.020510
wikimedia.org,551895,551440,156,0.020366,0.020477
princeton.edu,551350,549590,1090,0.020346,0.020409
yahoo.co.jp,545026,540768,149,0.020113,0.020081
player.fm,541640,536684,30,0.019988,0.019929
uk.com,535843,533832,2979,0.019774,0.019823
azurewebsites.net,531720,529786,4108,0.019622,0.019673
tistory.com,526757,526722,3951,0.019438,0.019559
wisc.edu,517890,515304,1969,0.019111,0.019135
github.io,515163,513586,28088,0.019011,0.019072
sapo.pt,511465,504499,3423,0.018874,0.018734
debian.org,496364,494438,97,0.018317,0.018361
iheart.com,490721,488643,935,0.018109,0.018145
apple.com,488726,475911,109,0.018035,0.017673
justia.com,483683,482595,171,0.017849,0.017921
apache.org,483246,482384,361,0.017833,0.017913
si.edu,478685,477943,179,0.017664,0.017748
cornell.edu,474494,472861,996,0.017510,0.017559
psu.edu,467918,461585,669,0.017267,0.017141
org.ru,463632,447143,712,0.017109,0.016604
baidu.com,461555,460932,240,0.017032,0.017116
freepik.com,456460,455990,15,0.016844,0.016933
exblog.jp,452754,452741,4256,0.016708,0.016812
bing.com,447892,445398,22,0.016528,0.016539
yandex.ru,439963,439814,132,0.016236,0.016332
admin.ch,439164,435778,295,0.016206,0.016182
pp.ua,434666,434631,699,0.016040,0.016140
indiatimes.com,432677,428216,65,0.015967,0.015901
mathworks.com,429941,429078,31,0.015866,0.015933
duke.edu,428089,426014,744,0.015797,0.015820
workplace.com,423115,423100,232,0.015614,0.015711
ca.gov,412662,409950,1133,0.015228,0.015223
euronews.com,409461,405336,20,0.015110,0.015052
sohu.com,408304,407710,326,0.015067,0.015140
utexas.edu,408094,406929,701,0.015059,0.015111
rakuten.co.jp,405960,404640,188,0.014981,0.015026
seesaa.net,403105,402806,3822,0.014875,0.014958
wikidot.com,396632,395420,5860,0.014637,0.014684
yale.edu,388360,386908,918,0.014331,0.014367
cnrs.fr,383430,381660,1176,0.014149,0.014173
mail.ru,383264,382565,92,0.014143,0.014206
sakura.ne.jp,377861,377393,2869,0.013944,0.014014
ning.com,371395,370336,705,0.013705,0.013752
oregonstate.edu,370768,370123,449,0.013682,0.013744
ubuntu.com,368195,367738,127,0.013587,0.013656
tradingview.com,366015,365741,21,0.013507,0.013581
ubc.ca,363745,362531,1569,0.013423,0.013462
cam.ac.uk,362338,348095,974,0.013371,0.012926
udn.com,361263,361044,61,0.013331,0.013407
mozilla.org,355031,352889,60,0.013101,0.013104
worldbank.org,352187,348893,91,0.012996,0.012956
ebay.com,347695,346896,62,0.012831,0.012882
com.ru,336958,333366,1598,0.012434,0.012379
herokuapp.com,331964,331428,1448,0.012250,0.012307
umn.edu,330646,329550,1182,0.012202,0.012238
ctvnews.ca,328410,327161,19,0.012119,0.012149
adobe.com,328192,315573,105,0.012111,0.011719
ucla.edu,326811,325232,1175,0.012060,0.012077
biglobe.ne.jp,326609,325823,98,0.012053,0.012099
threadless.com,325279,325037,2556,0.012003,0.012070
wixsite.com,317809,308648,83705,0.011728,0.011461
foursquare.com,315210,314805,20,0.011632,0.011690
oracle.com,314112,304983,60,0.011591,0.011325
bmj.com,313796,311166,116,0.011580,0.011555
usda.gov,313565,311757,173,0.011571,0.011577
nicovideo.jp,310096,309249,40,0.011443,0.011484
illinois.edu,308384,307658,1649,0.011380,0.011425
purdue.edu,307492,306931,246,0.011347,0.011398
stackoverflow.com,304554,297428,17,0.011239,0.011045
net.ru,302722,302081,472,0.011171,0.011218
app.link,302029,301991,1802,0.011145,0.011214
globalvoices.org,300657,296369,70,0.011095,0.011005
unesco.org,300333,285038,78,0.011083,0.010585
sina.com.cn,298423,297458,363,0.011012,0.011046
mynavi.jp,296691,295957,97,0.010949,0.010990
ucsb.edu,296215,294556,816,0.010931,0.010938
virginia.edu,295884,293020,585,0.010919,0.010881
eu.org,295824,294947,2149,0.010917,0.010953
ethz.ch,295528,294763,683,0.010906,0.010946
slideshare.net,295156,292983,6,0.010892,0.010880
utah.edu,290983,290217,753,0.010738,0.010777
usp.br,285876,284778,880,0.010549,0.010575
teachable.com,283302,282906,12889,0.010454,0.010505
ibm.com,281120,276887,104,0.010374,0.010282
rbc.ru,277682,277059,111,0.010247,0.010288
asu.edu,275612,274799,692,0.010171,0.010204
investing.com,274650,274417,76,0.010135,0.010190
rambler.ru,268874,267781,36,0.009922,0.009944
columbia.edu,267756,266879,973,0.009881,0.009910
ovh.net,264194,263906,1515,0.009749,0.009800
msk.ru,263172,263026,612,0.009712,0.009767
krakow.pl,263139,262008,1256,0.009710,0.009729
gov.ru,262298,260653,721,0.009679,0.009679
upenn.edu,258686,257824,811,0.009546,0.009574
voanews.com,251621,248562,14,0.009285,0.009230
fao.org,251260,250202,57,0.009272,0.009291
canada.ca,251037,240204,175,0.009264,0.008920
zendesk.com,248522,244687,9960,0.009171,0.009086
cmu.edu,248343,247972,365,0.009164,0.009208
substack.com,247845,246160,26091,0.009146,0.009141
utoronto.ca,247076,245275,998,0.009118,0.009108
loc.gov,246352,242245,38,0.009091,0.008996
narod.ru,246180,233147,6136,0.009085,0.008658
storeboard.com,243065,242687,205,0.008970,0.009012
firebaseapp.com,242571,242547,1485,0.008951,0.009007
ed.ac.uk,238884,238121,674,0.008815,0.008842
washington.edu,237777,237229,410,0.008774,0.008809
osu.edu,236579,236365,739,0.008730,0.008777
hawaii.edu,236143,235936,250,0.008714,0.008761
impress.co.jp,235918,235074,47,0.008706,0.008729
youtube.com,234277,227877,12,0.008645,0.008462
u-tokyo.ac.jp,233616,233152,1109,0.008621,0.008658
un.org,233300,230581,249,0.008609,0.008562
usgs.gov,233066,232551,140,0.008601,0.008636
gouv.qc.ca,232938,232430,1032,0.008596,0.008631
naver.com,232415,230449,168,0.008577,0.008558
epa.gov,232005,231253,94,0.008561,0.008587
123rf.com,231150,231020,20,0.008530,0.008579
unam.mx,229458,225441,851,0.008467,0.008372
nii.ac.jp,227348,227033,649,0.008390,0.008431
msu.edu,224933,224460,789,0.008300,0.008335
umd.edu,224880,224122,765,0.008299,0.008323
elpais.com,222217,220156,34,0.008200,0.008175
made-in-china.com,220898,217820,2207,0.008152,0.008089
uwaterloo.ca,219378,216324,203,0.008095,0.008033
blog.jp,219082,218811,1900,0.008085,0.008125
cuni.cz,218088,216483,702,0.008048,0.008039
github.com,217668,212233,41,0.008032,0.007881
bplaced.net,214915,214849,627,0.007931,0.007978
docomo.ne.jp,214828,214691,90,0.007928,0.007972
arizona.edu,213644,212562,1100,0.007884,0.007893
wp.pl,211186,209616,166,0.007793,0.007784
samsung.com,211127,209926,61,0.007791,0.007795
opera.com,210947,207817,33,0.007784,0.007717
zenfolio.com,210640,209170,1814,0.007773,0.007767
byu.edu,209484,208992,655,0.007730,0.007761
ig.com.br,209456,208128,77,0.007729,0.007729
ku.dk,209029,208123,405,0.007714,0.007728
hatenablog.jp,208795,208775,1576,0.007705,0.007753
nyu.edu,208716,207970,295,0.007702,0.007723
hp.com,208543,205465,94,0.007696,0.007630
biomedcentral.com,206679,203266,442,0.007627,0.007548
shopify.com,205460,201925,35,0.007582,0.007498
amazon.com,204786,201310,90,0.007557,0.007475
uni-heidelberg.de,204304,200534,333,0.007539,0.007447
wyborcza.pl,204192,202824,45,0.007535,0.007532
coe.int,203860,164320,67,0.007523,0.006102
law360.com,203746,203001,134,0.007519,0.007538
wustl.edu,203510,203004,947,0.007510,0.007538
adelaide.edu.au,202845,202753,61,0.007485,0.007529
muni.cz,201544,200931,457,0.007437,0.007461
vercel.app,200665,200475,4139,0.007405,0.007444
ieee.org,199468,191785,232,0.007361,0.007122
bayern.de,198573,192676,485,0.007328,0.007155
hypotheses.org,198286,197960,4802,0.007317,0.007351
unl.edu,198026,197775,510,0.007308,0.007344
fanpop.com,197900,197330,20,0.007303,0.007328
launchpad.net,196674,196452,30,0.007258,0.007295
kit.edu,196036,195337,631,0.007234,0.007254
main.jp,194088,193293,1309,0.007162,0.007178
ucsf.edu,194058,193903,901,0.007161,0.007200
uchicago.edu,192810,189904,853,0.007115,0.007052
ncsu.edu,192590,187338,1130,0.007107,0.006957
usf.edu,190814,190278,195,0.007041,0.007066
dailymotion.com,190626,190555,13,0.007034,0.007076
wikibooks.org,190024,189882,218,0.007012,0.007051
nist.gov,189691,188247,85,0.007000,0.006990
francetvinfo.fr,189074,186840,12,0.006977,0.006938
uib.no,188836,186637,297,0.006968,0.006931
ucsd.edu,188504,187328,1130,0.006956,0.006956
ucoz.ru,187746,186299,1363,0.006928,0.006918
ny.gov,186926,186229,341,0.006898,0.006915
ilsole24ore.com,186111,185292,182,0.006868,0.006881
fedoraproject.org,185721,185575,74,0.006853,0.006891
shein.com,184561,184471,34,0.006811,0.006850
com.de,184322,183195,483,0.006802,0.006803
kcl.ac.uk,183849,182838,89,0.006784,0.006790
walla.co.il,183248,183026,351,0.006762,0.006797
scribd.com,182674,182438,13,0.006741,0.006775
bme.hu,182113,181877,429,0.006720,0.006754
gnu.org,181534,181098,30,0.006699,0.006725
jd.com,181493,180841,1872,0.006697,0.006715
ifixit.com,179131,177612,21,0.006610,0.006595
chinaz.com,179129,175963,61,0.006610,0.006534
jooble.org,178199,178137,71,0.006576,0.006615
iu.edu,177638,176166,539,0.006555,0.006542
uni-hamburg.de,177312,174739,373,0.006543,0.006489
csic.es,177197,174832,492,0.006539,0.006492
inaturalist.org,177107,176493,14,0.006536,0.006554
nfl.com,176881,173331,26,0.006527,0.006436
