crawl,mimetype,pages,urls,%pages/crawl
CC-MAIN-2008-2009,<other>,817123,814494,0.0454
CC-MAIN-2008-2009,application/atom+xml,520258,518338,0.0289
CC-MAIN-2008-2009,application/download,198,198,0.0000
CC-MAIN-2008-2009,application/force-download,448,448,0.0000
CC-MAIN-2008-2009,application/javascript,2880,2872,0.0002
CC-MAIN-2008-2009,application/json,30,30,0.0000
CC-MAIN-2008-2009,application/marc,7,7,0.0000
CC-MAIN-2008-2009,application/msword,102626,102624,0.0057
CC-MAIN-2008-2009,application/octet-stream,10739,10739,0.0006
CC-MAIN-2008-2009,application/octetstream,33,33,0.0000
CC-MAIN-2008-2009,application/pdf,21192930,21123709,1.1786
CC-MAIN-2008-2009,application/pgp-encrypted,2,2,0.0000
CC-MAIN-2008-2009,application/pgp-signature,390,390,0.0000
CC-MAIN-2008-2009,application/postscript,489,489,0.0000
CC-MAIN-2008-2009,application/rdf+xml,213121,212730,0.0119
CC-MAIN-2008-2009,application/rss+xml,1622341,1615587,0.0902
CC-MAIN-2008-2009,application/rtf,35261,35101,0.0020
CC-MAIN-2008-2009,application/text,3168,3148,0.0002
CC-MAIN-2008-2009,application/unknown,166,166,0.0000
CC-MAIN-2008-2009,application/vnd.google-earth.kml+xml,93062,92819,0.0052
CC-MAIN-2008-2009,application/vnd.google-earth.kmz,458,458,0.0000
CC-MAIN-2008-2009,application/vnd.ms-excel,303,303,0.0000
CC-MAIN-2008-2009,application/vnd.ms-powerpoint,24064,23965,0.0013
CC-MAIN-2008-2009,application/vnd.ms-word,64,64,0.0000
CC-MAIN-2008-2009,application/vnd.oasis.opendocument.text,2914,2903,0.0002
CC-MAIN-2008-2009,application/vnd.openxmlformats-officedocument.presentationml.presentation,2,2,0.0000
CC-MAIN-2008-2009,application/vnd.openxmlformats-officedocument.wordprocessingml.document,4,4,0.0000
CC-MAIN-2008-2009,application/vnd.wap.xhtml+xml,844,843,0.0000
CC-MAIN-2008-2009,application/x-bittorrent,2291,2291,0.0001
CC-MAIN-2008-2009,application/x-bzip2,969,969,0.0001
CC-MAIN-2008-2009,application/x-debian-package,1,1,0.0000
CC-MAIN-2008-2009,application/x-download,124,124,0.0000
CC-MAIN-2008-2009,application/x-endnote-refer,20,20,0.0000
CC-MAIN-2008-2009,application/x-gzip,306,306,0.0000
CC-MAIN-2008-2009,application/x-httpd-php,1409,1409,0.0001
CC-MAIN-2008-2009,application/x-java-jnlp-file,166,166,0.0000
CC-MAIN-2008-2009,application/x-javascript,162713,162291,0.0090
CC-MAIN-2008-2009,application/x-msdownload,86,86,0.0000
CC-MAIN-2008-2009,application/x-netcdf,90,90,0.0000
CC-MAIN-2008-2009,application/x-rar-compressed,514,514,0.0000
CC-MAIN-2008-2009,application/x-research-info-systems,48,48,0.0000
CC-MAIN-2008-2009,application/x-shockwave-flash,32085,32085,0.0018
CC-MAIN-2008-2009,application/x-tar,1708,1708,0.0001
CC-MAIN-2008-2009,application/x-tex,11368,11334,0.0006
CC-MAIN-2008-2009,application/x-troff-man,21,21,0.0000
CC-MAIN-2008-2009,application/x-zip-compressed,96,96,0.0000
CC-MAIN-2008-2009,application/xhtml+xml,719150,716477,0.0400
CC-MAIN-2008-2009,application/xml,2987620,2977275,0.1661
CC-MAIN-2008-2009,application/zip,285,285,0.0000
